itemId,title,category,tags
1001,蒙牛纯牛奶,牛奶,纯牛奶|常温
1002,伊利高钙奶,牛奶,高钙|常温
1003,特仑苏有机奶,牛奶,有机|高端
1004,光明鲜牛奶,牛奶,鲜奶|冷藏
1005,安慕希酸奶,牛奶,酸奶|常温
1006,蒙牛酸酸乳,牛奶,酸奶|乳饮料
1007,奥利奥原味,饼干,巧克力|夹心
1008,好丽友派,饼干,巧克力|蛋糕
1009,太平苏打饼干,饼干,咸味|代餐
1010,百草味曲奇,饼干,黄油|酥脆
1011,嘉士利薄脆,饼干,咸味|薄脆
1012,乐事原味薯片,薯片,原味|经典
1013,乐事黄瓜味,薯片,清爽|黄瓜
1014,品客烧烤味,薯片,烧烤|罐装
1015,可比克番茄味,薯片,番茄|膨化
1016,好丽友薯愿,薯片,非油炸|健康
1017,可口可乐,饮料,碳酸|经典
1018,元气森林气泡水,饮料,无糖|气泡
1019,农夫山泉茶π,饮料,茶饮|果味
1020,王老吉凉茶,饮料,凉茶|罐装
1021,东鹏特饮,饮料,功能|提神
1022,美汁源果粒橙,饮料,果汁|橙味
1023,三只松鼠每日坚果,坚果,混合|健康
1024,百草味夏威夷果,坚果,单品|奶香
1025,洽洽瓜子,坚果,瓜子|经典
1026,良品铺子腰果,坚果,单品|进口
1027,沃隆坚果礼盒,坚果,混合|送礼
